Prefix,Prefetcher_Type,Table_Size,Min_Thresh,Max_Thresh,AVG_IPC,L2_Pf_HR,L2_HR
035,IPMarkovDelta,32.0,32,128,0.6049,0.90409,0.82724
035,IPMarkovDelta,64.0,64,128,0.62563,0.90915,0.85035
043,IPDeltaMarkovDelta,,64,128,0.64041,0.88851,0.83076
041,DeltaMarkovDelta,256.0,32,128,0.65309,0.88436,0.83067
035,IPMarkovDelta,256.0,32,64,0.64057,0.92147,0.87696
041,DeltaMarkovDelta,,64,1024,0.57757,0.75532,0.76207
041,DeltaMarkovDelta,64.0,0,128,0.6652,0.87214,0.80475
035,IPMarkovDelta,64.0,4,128,0.67883,0.92642,0.86898
045,IPDeltaMarkovDelta,,0,2048,0.66115,0.82458,0.79956
035,IPMarkovDelta,32.0,0,32,0.67968,0.9295,0.85125
043,IPDeltaMarkovDelta,,32,128,0.6398,0.88921,0.82628
045,IPDeltaMarkovDelta,,0,128,0.68238,0.90725,0.84313
041,DeltaMarkovDelta,128.0,32,128,0.65186,0.87913,0.82254
043,IPDeltaMarkovDelta,,0,512,0.67054,0.86101,0.82149
043,IPDeltaMarkovDelta,,0,128,0.68238,0.90725,0.84313
041,DeltaMarkovDelta,64.0,32,64,0.65424,0.88042,0.81462
041,DeltaMarkovDelta,128.0,64,128,0.64667,0.88652,0.83272
